Orthogroup	OWEFU	NEMVE
OG0000007	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1	NEMVE09289
OG0000007	OFUSG25241.1.p1	NEMVE05677
OG0000008	OFUSG01560.1.p1	NEMVE06079, NEMVE05558
OG0000008	OFUSG22532.1.p1, OFUSG22531.1.p1, OFUSG22625.1.p1, OFUSG22623.1.p1, OFUSG20244.1.p1, OFUSG11838.1.p1, OFUSG11837.1.p1, OFUSG02607.1.p1, OFUSG06031.1.p1, OFUSG02120.1.p1, OFUSG12365.1.p1, OFUSG06314.1.p1, OFUSG16783.1.p1, OFUSG22288.1.p1	NEMVE10754
OG0000008	OFUSG20435.1.p1	NEMVE08509, NEMVE08519, NEMVE09930
OG0000008	OFUSG01705.1.p1, OFUSG01704.1.p1, OFUSG01067.1.p1	NEMVE07817, NEMVE12766
OG0000008	OFUSG06064.2.p1, OFUSG06064.1.p1	NEMVE04915
OG0000008	OFUSG05918.1.p1	NEMVE19301, NEMVE04856, NEMVE05897
OG0000009	OFUSG23060.1.p1	NEMVE20384
OG0000009	OFUSG25126.1.p1	NEMVE09925, NEMVE06876
OG0000010	OFUSG26732.1.p1, OFUSG03629.1.p1, OFUSG16394.1.p1, OFUSG18342.1.p1, OFUSG21206.1.p1, OFUSG23433.1.p1	NEMVE11404, NEMVE16450, NEMVE09797, NEMVE11588, NEMVE01697, NEMVE01738, NEMVE21902, NEMVE17711, NEMVE08397, NEMVE01167, NEMVE15739, NEMVE05529, NEMVE01767, NEMVE07660, NEMVE00202, NEMVE10296, NEMVE05146, NEMVE07596, NEMVE01178, NEMVE01192, NEMVE09791
OG0000010	OFUSG05937.1.p1	NEMVE02447, NEMVE13495
OG0000010	OFUSG09897.1.p1, OFUSG08323.1.p1, OFUSG09247.1.p1	NEMVE08097, NEMVE05663, NEMVE09594, NEMVE01139, NEMVE10384, NEMVE08328, NEMVE12787, NEMVE21978, NEMVE15512, NEMVE00299, NEMVE10065, NEMVE10064, NEMVE11692, NEMVE10063
OG0000010	OFUSG10776.1.p1	NEMVE02242, NEMVE11743, NEMVE12341, NEMVE07633, NEMVE13907, NEMVE21895, NEMVE07143, NEMVE08133, NEMVE19437, NEMVE19436, NEMVE21842, NEMVE09816, NEMVE06238, NEMVE08032, NEMVE05308, NEMVE21754, NEMVE07621, NEMVE09784, NEMVE21928, NEMVE07022, NEMVE00173, NEMVE08008
OG0000010	OFUSG08801.1.p1, OFUSG04629.1.p1, OFUSG16371.1.p1, OFUSG03904.1.p1	NEMVE05383
OG0000010	OFUSG01743.1.p1	NEMVE05306
OG0000012	OFUSG17546.1.p1, OFUSG22951.1.p1	NEMVE14003, NEMVE10925, NEMVE14934
OG0000012	OFUSG20656.1.p1, OFUSG20658.1.p1, OFUSG06519.1.p1, OFUSG06521.1.p1, OFUSG05812.1.p1, OFUSG06520.1.p1, OFUSG20570.1.p1, OFUSG20324.1.p1, OFUSG20571.1.p1, OFUSG10133.2.p1, OFUSG07223.1.p1, OFUSG12200.1.p1, OFUSG04333.1.p1, OFUSG15962.2.p1, OFUSG15962.1.p1, OFUSG16395.2.p1, OFUSG16395.1.p1, OFUSG16273.2.p1, OFUSG16273.1.p1, OFUSG16273.3.p1, OFUSG04682.1.p1, OFUSG22368.1.p1, OFUSG22367.1.p1, OFUSG22366.1.p1	NEMVE09268, NEMVE05547
OG0000012	OFUSG04462.1.p1, OFUSG04460.1.p1, OFUSG22117.1.p1	NEMVE01141, NEMVE23855, NEMVE18011, NEMVE02074
OG0000013	OFUSG01707.1.p1, OFUSG01708.1.p1, OFUSG22026.1.p1, OFUSG22025.1.p1, OFUSG17332.1.p1, OFUSG12573.1.p1, OFUSG09407.1.p1, OFUSG09404.1.p1, OFUSG09402.1.p1, OFUSG09408.1.p1, OFUSG09406.1.p1, OFUSG09400.1.p1, OFUSG19545.1.p1, OFUSG21789.1.p1, OFUSG21797.1.p1, OFUSG21790.1.p1, OFUSG21798.1.p1, OFUSG19408.1.p1	NEMVE13893, NEMVE05875, NEMVE01242, NEMVE11444, NEMVE23684, NEMVE09508, NEMVE09506, NEMVE08890, NEMVE08262, NEMVE00977
OG0000014	OFUSG01558.1.p1	NEMVE05683, NEMVE23345, NEMVE10641, NEMVE03069, NEMVE02050, NEMVE14397, NEMVE01595, NEMVE16229, NEMVE09650, NEMVE18645, NEMVE16940, NEMVE17193
OG0000014	OFUSG00805.1.p1	NEMVE10548, NEMVE12737, NEMVE10549, NEMVE11550, NEMVE11398, NEMVE01819
OG0000015	OFUSG02249.1.p1	NEMVE01032, NEMVE12485, NEMVE00817
OG0000015	OFUSG03122.3.p1, OFUSG03122.2.p1, OFUSG03122.1.p1	NEMVE05324, NEMVE02429, NEMVE04966, NEMVE18055, NEMVE18768, NEMVE20100, NEMVE21922, NEMVE03454, NEMVE06696, NEMVE01531, NEMVE16715, NEMVE01580, NEMVE06889, NEMVE01713, NEMVE06874, NEMVE07446, NEMVE02999, NEMVE07669, NEMVE00606, NEMVE10760, NEMVE10763, NEMVE03039, NEMVE11855, NEMVE07220
OG0000015	OFUSG03121.2.p1, OFUSG03121.1.p1	NEMVE09590, NEMVE09832, NEMVE01566
OG0000015	OFUSG21186.1.p1	NEMVE03157, NEMVE03314, NEMVE10118, NEMVE08503
OG0000016	OFUSG06389.1.p1	NEMVE12514, NEMVE12424
OG0000016	OFUSG16773.1.p1	NEMVE10959
OG0000016	OFUSG14051.1.p1	NEMVE06758
OG0000016	OFUSG06386.1.p1, OFUSG05926.1.p1	NEMVE18985
OG0000016	OFUSG06388.1.p1, OFUSG18492.1.p1	NEMVE20577
OG0000016	OFUSG11848.1.p1	NEMVE05675
OG0000016	OFUSG06227.1.p1	NEMVE01836
OG0000018	OFUSG14111.1.p3	NEMVE12742, NEMVE12416
OG0000019	OFUSG14039.1.p1, OFUSG23776.1.p1	NEMVE06549
OG0000019	OFUSG08823.1.p1	NEMVE19477, NEMVE18845, NEMVE09968, NEMVE08427, NEMVE18382, NEMVE10945, NEMVE18794, NEMVE16950
OG0000019	OFUSG04421.1.p1, OFUSG13833.1.p1, OFUSG25829.1.p1, OFUSG14065.1.p1, OFUSG25830.1.p1, OFUSG14040.1.p1	NEMVE10214
OG0000019	OFUSG11853.1.p1, OFUSG11853.3.p1, OFUSG11853.2.p1, OFUSG19407.1.p1, OFUSG06826.1.p1	NEMVE10489
